"Google","Amazon","Microsoft"
222.029998779297,191.485000610352,425.529998779297
222.509994506836,192.725006103516,421.079986572266
226.779998779297,195.149993896484,428
227.899993896484,198.270004272461,429
223.190002441406,193.949996948242,423.459991455078
221.460006713867,195.419998168945,424.630004882812
218.059997558594,191.350006103516,415.239990234375
220.440002441406,192.5,417.809997558594
222.830001831055,194.350006103516,419.130004882812
224.419998168945,195.824996948242,428.700012207031
225.839996337891,198.050003051758,434.089996337891
228.899993896484,200.509994506836,430.200012207031
232.020004272461,200.550003051758,437.559997558594
234.100006103516,199.979995727539,442
234.5,199.850006103516,445.160003662109
226.210006713867,194.190002441406,424.010009765625
234.289993286133,194.649993896484,434.600006103516
239.020004272461,197.369995117188,446.690002441406
237.139999389648,199.759994506836,418.769989013672
236.5,203.714996337891,418.980010986328
234.059997558594,202.214996337891,411.600006103516
239.009994506836,204.5,412.690002441406
237.020004272461,193.100006103516,412.350006103516
238.009994506836,190.990005493164,414
232.5,192.740005493164,416.480010986328
230.550003051758,189.059997558594,413.709991455078
231.919998168945,186.835006713867,409.640014648438
230.460006713867,185.229995727539,407.209991455078
228.850006103516,185.929992675781,407
229.199996948242,186.830001831055,407.790008544922
228.820007324219,187.440002441406,408
225.520004272461,186.184997558594,407.880004882812
224.779998779297,186.5,415.290008544922
223.279998779297,187.289993286133,417.339996337891
217.449996948242,183.800003051758,408.510009765625
211.630004882812,180.154998779297,401.100006103516
214.940002441406,176.945007324219,398.010009765625
218.350006103516,175.940002441406,401.269989013672
208.649993896484,170.300003051758,392.660003662109
213.350006103516,173.729995727539,398.820007324219
200.110000610352,167.940002441406,383.399993896484
204.800003051758,172.320007324219,389.339996337891
204.399993896484,172.550003051758,394.279998779297
199.490005493164,173.242004394531,392.320007324219
195.600006103516,170.160003662109,385.839996337891
193.899993896484,166.679992675781,379
200.720001220703,168.470001220703,382.950012207031
198.169998168945,167.979995727539,383.160003662109
197.410003662109,165.315002441406,379.779998779297
198.770004272461,167.324996948242,386.700012207031
192.520004272461,165.960006713867,387.070007324219
193.380004882812,163.914993286133,385.529998779297
193.070007324219,163.824996948242,385.739990234375
192.899993896484,163.380004882812,383.220001220703
200,169.264999389648,395.399993896484
203.600006103516,171.179992675781,393.920013427734
205.839996337891,171.300003051758,395
200.889999389648,166.710006713867,390.130004882812
198.419998168945,162.360000610352,388.079986572266
188.190002441406,154.809997558594,372.540008544922
187.860000610352,155.300003051758,374.649993896484
187.660003662109,156.960006713867,377.970001220703
183,152.835006713867,374.790008544922
167.149993896484,149.899993896484,364.130004882812
162,143.389999389648,350.880004882812
185.229995727539,153.574996948242,368.260009765625
172.119995117188,146.330001831055,353.540008544922
185.440002441406,158.759994506836,382.059997558594
179.929992675781,155.585006713867,380.640014648438
186.839996337891,162.309997558594,393.220001220703
181.410003662109,161.570007324219,388.510009765625
176.289993286133,155.470001220703,380.670013427734
176,156.610000610352,373.75
169.600006103516,150.964996337891,362.820007324219
169.850006103516,151.070007324219,363.380004882812
183.449996948242,157.910003662109,376.059997558594
180.919998168945,158.524993896484,375.700012207031
187.619995117188,167.100006103516,387
190.110000610352,164.259994506836,391.959991455078
183.990005493164,162.044998168945,391.299987792969
182.169998168945,159.860000610352,390.299987792969
190.630004882812,162.520004272461,431.109985351562
191.440002441406,164.955001831055,431.739990234375
186.509994506836,164.514999389648,432.869995117188
184.570007324219,163.960006713867,432.200012207031
185.559997558594,166.070007324219,433.839996337891
191.429992675781,155.919998168945,437.929992675781
193.380004882812,155.550003051758,440
210.710006713867,159.100006103516,445.940002441406
211.080001831055,159.919998168945,447.779998779297
211.449996948242,161.309997558594,448.140014648438
206.449996948242,167.139999389648,450.769989013672
206.850006103516,168.929992675781,452.049987792969
201.649993896484,165.714996337891,450.880004882812
204.630004882812,167.759994506836,455.589996337891
201.610000610352,164.949996948242,454.570007324219
201.380004882812,173.350006103516,454.950012207031
198.899993896484,170.279998779297,449.980010986328
203.089996337891,171.300003051758,456.480010986328
205.919998168945,173.979995727539,461.220001220703
208.029998779297,175,461.549987792969
204.839996337891,172.410003662109,459.720001220703
204.979995727539,169.009994506836,457.140014648438
207.110000610352,168.865005493164,461.470001220703
206.550003051758,168.279998779297,464
209.550003051758,171.619995117188,464.959991455078
212.399993896484,172.300003051758,470.089996337891
214.75,175.869995117188,469.700012207031
216.779998779297,177.759994506836,471.190002441406
217.410003662109,181.229995727539,470.019989013672
211.779998779297,177.479995727539,475.019989013672
209.960006713867,173.580001831055,476.410003662109
212.309997558594,175.904998779297,475.209991455078
215.199996948242,177,475.399993896484
215.089996337891,177.279998779297,478
214.679992675781,174.865005493164,482.230010986328
209.789993286133,167.320007324219,478.209991455078
212.139999389648,167.684997558594,488.950012207031
214.619995117188,168.649993896484,492.040008544922
213.119995117188,173.384994506836,492.980010986328
219.919998168945,174.630004882812,497.549987792969
223.520004272461,180.785003662109,497.040008544922
219.5,176.804992675781,496.470001220703
219.729995727539,176.544998168945,489.989990234375
221.820007324219,179.820007324219,493.809997558594
223,180.134994506836,497.380004882812
223.919998168945,178.779998779297,497.239990234375
221.070007324219,176.110000610352,500.299987792969
221.550003051758,176.669998168945,503.049987792969
223.580001831055,177.910003662109,498.470001220703
225.070007324219,182.070007324219,501.519989013672
226.199996948242,183.940002441406,503.019989013672
225.880004882812,184.320007324219,505.179992675781
223.320007324219,183.115005493164,505.679992675781
225.139999389648,186.619995117188,514.47998046875
225.839996337891,187.100006103516,506.709991455078
229.679992675781,192.419998168945,510.970001220703
228.470001220703,192.360000610352,506.75
229.169998168945,198.110000610352,508.769989013672
232.220001220703,192.929992675781,512.469970703125
233.350006103516,194.410003662109,514.080017089844
234.149993896484,193.300003051758,515.530029296875
231.639999389648,196.300003051758,515.169982910156
235.770004272461,196.600006103516,555.22998046875
217.210006713867,189.779998779297,535
217.399993896484,191.175003051758,528.27001953125
213.050003051758,195.544998168945,537.179992675781
214.699996948242,195.25,530.900024414062
221,197.710006713867,526.799987792969
223.139999389648,197.979995727539,522.599975585938
221.779998779297,201.554992675781,522.299987792969
222.229995727539,202.095001220703,523.75
222,204.979995727539,532.109985351562
227.399993896484,202.559997558594,522.559997558594
232.580001831055,204.720001220703,522.77001953125
230.229995727539,205.070007324219,521.590026855469
230.089996337891,203.904998779297,515
227.119995117188,201.679992675781,509.869995117188
222.649993896484,200.720001220703,503.690002441406
222.789993286133,203.960006713867,504.25
227.350006103516,207,506.630004882812
227.110000610352,208.369995117188,504.359985351562
228.570007324219,206.460006713867,502
229.009994506836,207.839996337891,507.089996337891
231.320007324219,211.270004272461,508.660003662109
223.520004272461,208.990005493164,500.470001220703
225.210006713867,226.479995727539,503.790008544922
231.190002441406,230.154998779297,504.299987792969
235.190002441406,232.660003662109,509.070007324219
234.940002441406,235.789993286133,498.109985351562
236.360000610352,234.190002441406,501.429992675781
237.520004272461,239.25,502.980010986328
231.490005493164,240.139999389648,502.25
230.350006103516,240.800003051758,506.649993896484
230.630004882812,245.139999389648,508.790008544922
232.940002441406,252.330001831055,516.880004882812
233.770004272461,251.460006713867,510.619995117188
232.5,251.860000610352,511.489990234375
232.369995117188,253.399993896484,510.559997558594
230.559997558594,254.779998779297,515.590026855469
227.830001831055,253.654998779297,513.799987792969
224.149993896484,252.149993896484,510.380004882812
220.059997558594,244.839996337891,508.299987792969
219.080001831055,247.785003662109,510.059997558594
220.080001831055,248.274993896484,511.5
222.029998779297,243.059997558594,513.239990234375
217.360000610352,241.179992675781,514.799987792969
221.009994506836,245.639999389648,517.640014648438
223.440002441406,245.229995727539,517.099975585938
221,245.779998779297,518.609985351562
220.880004882812,248.929992675781,528.289978027344
222.919998168945,246.199996948242,523.280029296875
225,245.059997558594,522.340026855469
226.210006713867,242.160003662109,519.640014648438
217.699996948242,241.029998779297,516.409973144531
215.559997558594,241.755004882812,510.230010986328
216.619995117188,248.085006713867,514.960021972656
215.669998168945,252.464996337891,512.580017089844
214.559997558594,251.350006103516,509.040008544922
213.880004882812,255.229995727539,514.609985351562
218.429992675781,255.25,517.5
219.300003051758,255.009994506836,521.150024414062
219,253.699996948242,522.460021972656
221.970001220703,257.299987792969,522.789978027344
227.660003662109,265.359985351562,531.780029296875
228.220001220703,270.200012207031,550
231.669998168945,268.609985351562,544.940002441406
227.059997558594,291.720001220703,530.47998046875
250.100006103516,283.204986572266,528.880004882812
255.360000610352,282.420013427734,519.809997558594
250.380004882812,277.065002441406,511.760009765625
249.029998779297,279.380004882812,513.299987792969
249.160003662109,285.734985351562,505.660003662109
242.899993896484,284.209991455078,496.950012207031
248.339996337891,285.265014648438,500.040008544922
248.410003662109,288.200012207031,504.799987792969
250.240005493164,292.084991455078,509.359985351562
243.050003051758,282.984985351562,510.309997558594
235.059997558594,271.894989013672,498.230010986328
233.25,286.399993896484,508.450012207031
228.100006103516,288.484985351562,495.369995117188
223.740005493164,287.684997558594,490.100006103516
227.050003051758,304.739990234375,492.709991455078
216.350006103516,296.869995117188,478.5
222.559997558594,311.010009765625,475
226.380004882812,326.799987792969,474.070007324219
230.740005493164,320.779998779297,486.309997558594
231.240005493164,323.429992675781,487.600006103516
233.220001220703,317.475006103516,488.440002441406
235.009994506836,316.899993896484,486.720001220703
233.350006103516,316.029998779297,476.320007324219
232.770004272461,323.045013427734,479.760009765625
230.320007324219,320,482.519989013672
229.589996337891,321.029998779297,484.890014648438
226.839996337891,313.100006103516,489.100006103516
228.809997558594,316.619995117188,484.029998779297
230.710006713867,321.100006103516,476.630004882812
229.869995117188,314.795013427734,479.820007324219
227.929992675781,312.625,480.100006103516
223.039993286133,306,471.910003662109
224.660003662109,309.010009765625,476.910003662109
225.710006713867,303.059997558594,478.190002441406
226.759994506836,303.269989013672,487.359985351562
228.610000610352,311.225006103516,486.119995117188
229.059997558594,311.135009765625,484.980010986328
232.130004882812,316.149993896484,485.679992675781
232.039993286133,315.920013427734,486.709991455078
231.940002441406,312.820007324219,484.859985351562
231.210006713867,313.410003662109,485.929992675781
